fk_name	schema_name	table	column	referenced_table	referenced_column
FK_RONL_MANL_INPUT_MKT_CST__RONL_MANL_INPUT	dbo	RONL_MANL_INPUT_MKT_CST	RMITR_NO	RONL_MANL_INPUT	RMITR_NO
FK_RONL_MANL_INPUT_MKT_CST__RONL_MANL_INPUT	dbo	RONL_MANL_INPUT_MKT_CST	OPER_BUS_SEG_CD	RONL_MANL_INPUT	OPER_BUS_SEG_CD
FK_RONL_MANL_INPUT_MKT_CST__RONL_MANL_INPUT	dbo	RONL_MANL_INPUT_MKT_CST	RMITR_SUB	RONL_MANL_INPUT	RMITR_SUB
FK_RONL_MANL_INPUT_MKT_CST__RONL_MANL_INPUT	dbo	RONL_MANL_INPUT_MKT_CST	MANL_INPUT_ID	RONL_MANL_INPUT	MANL_INPUT_ID
FK_RONL_MI_STAT__RONL_MANL_INPUT	dbo	RONL_MI_STAT	OPER_BUS_SEG_CD	RONL_MANL_INPUT	OPER_BUS_SEG_CD
FK_RONL_MI_STAT__RONL_MANL_INPUT	dbo	RONL_MI_STAT	PRDN_DT	RONL_MANL_INPUT	PRDN_DT
FK_RONL_MI_STAT__RONL_MANL_INPUT	dbo	RONL_MI_STAT	PRNT_MANL_INPUT_ID	RONL_MANL_INPUT	MANL_INPUT_ID
FK_RONL_MI_STAT__RONL_MANL_INPUT	dbo	RONL_MI_STAT	PRNT_PROD_CD	RONL_MANL_INPUT	PROD_CD
FK_RONL_MI_STAT__RONL_MANL_INPUT	dbo	RONL_MI_STAT	SOD_GRP_NO	RONL_MANL_INPUT	SOD_GRP_NO
FK_RONL_MI_STAT__RONL_MANL_INPUT	dbo	RONL_MI_STAT	RMITR_NO	RONL_MANL_INPUT	RMITR_NO
FK_RONL_MI_STAT__RONL_MANL_INPUT	dbo	RONL_MI_STAT	RMITR_SUB	RONL_MANL_INPUT	RMITR_SUB
FKD_RONL_MI_STAT__RONL_MANL_INPUT	dbo	RONL_MI_STAT	RMITR_NO	RONL_MANL_INPUT	RMITR_NO
FKD_RONL_MI_STAT__RONL_MANL_INPUT	dbo	RONL_MI_STAT	RMITR_SUB	RONL_MANL_INPUT	RMITR_SUB
FKD_RONL_MI_STAT__RONL_MANL_INPUT	dbo	RONL_MI_STAT	MANL_INPUT_ID	RONL_MANL_INPUT	MANL_INPUT_ID
FKD_RONL_MI_STAT__RONL_MANL_INPUT	dbo	RONL_MI_STAT	PROD_CD	RONL_MANL_INPUT	PROD_CD
FKD_RONL_MI_STAT__RONL_MANL_INPUT	dbo	RONL_MI_STAT	OPER_BUS_SEG_CD	RONL_MANL_INPUT	OPER_BUS_SEG_CD
FKD_RONL_MI_STAT__RONL_MANL_INPUT	dbo	RONL_MI_STAT	PRDN_DT	RONL_MANL_INPUT	PRDN_DT
FKD_RONL_MI_STAT__RONL_MANL_INPUT	dbo	RONL_MI_STAT	SOD_GRP_NO	RONL_MANL_INPUT	SOD_GRP_NO
FK_ASTG_DO_AGMT__ASTG_DO_HDR	dbo	ASTG_DO_AGMT	PROP_NO	ASTG_DO_HDR	PROP_NO
FK_ASTG_DO_AGMT__ASTG_DO_HDR	dbo	ASTG_DO_AGMT	DO_TYPE_CD	ASTG_DO_HDR	DO_TYPE_CD
FK_ASTG_DO_AGMT__ASTG_DO_HDR	dbo	ASTG_DO_AGMT	DO_MAJ_PROD_CD	ASTG_DO_HDR	DO_MAJ_PROD_CD
FK_ASTG_DO_AGMT__ASTG_DO_HDR	dbo	ASTG_DO_AGMT	TIER	ASTG_DO_HDR	TIER
FK_ASTG_DO_AGMT__ASTG_DO_HDR	dbo	ASTG_DO_AGMT	OPER_BUS_SEG_CD	ASTG_DO_HDR	OPER_BUS_SEG_CD
FK_ASTG_DO_LAND__ASTG_DO_HDR	dbo	ASTG_DO_LAND	PROP_NO	ASTG_DO_HDR	PROP_NO
FK_ASTG_DO_LAND__ASTG_DO_HDR	dbo	ASTG_DO_LAND	DO_TYPE_CD	ASTG_DO_HDR	DO_TYPE_CD
FK_ASTG_DO_LAND__ASTG_DO_HDR	dbo	ASTG_DO_LAND	DO_MAJ_PROD_CD	ASTG_DO_HDR	DO_MAJ_PROD_CD
FK_ASTG_DO_LAND__ASTG_DO_HDR	dbo	ASTG_DO_LAND	TIER	ASTG_DO_HDR	TIER
FK_ASTG_DO_LAND__ASTG_DO_HDR	dbo	ASTG_DO_LAND	OPER_BUS_SEG_CD	ASTG_DO_HDR	OPER_BUS_SEG_CD
FK_ASTG_DO_CMNT__ASTG_DO_HDR	dbo	ASTG_DO_CMNT	PROP_NO	ASTG_DO_HDR	PROP_NO
FK_ASTG_DO_CMNT__ASTG_DO_HDR	dbo	ASTG_DO_CMNT	DO_TYPE_CD	ASTG_DO_HDR	DO_TYPE_CD
FK_ASTG_DO_CMNT__ASTG_DO_HDR	dbo	ASTG_DO_CMNT	DO_MAJ_PROD_CD	ASTG_DO_HDR	DO_MAJ_PROD_CD
FK_ASTG_DO_CMNT__ASTG_DO_HDR	dbo	ASTG_DO_CMNT	TIER	ASTG_DO_HDR	TIER
FK_ASTG_DO_CMNT__ASTG_DO_HDR	dbo	ASTG_DO_CMNT	OPER_BUS_SEG_CD	ASTG_DO_HDR	OPER_BUS_SEG_CD
FK_ASTG_MKT_GRP_HDR__ASTG_DO_HDR	dbo	ASTG_MKT_GRP_HDR	PROP_NO	ASTG_DO_HDR	PROP_NO
FK_ASTG_MKT_GRP_HDR__ASTG_DO_HDR	dbo	ASTG_MKT_GRP_HDR	DO_TYPE_CD	ASTG_DO_HDR	DO_TYPE_CD
FK_ASTG_MKT_GRP_HDR__ASTG_DO_HDR	dbo	ASTG_MKT_GRP_HDR	DO_MAJ_PROD_CD	ASTG_DO_HDR	DO_MAJ_PROD_CD
FK_ASTG_MKT_GRP_HDR__ASTG_DO_HDR	dbo	ASTG_MKT_GRP_HDR	TIER	ASTG_DO_HDR	TIER
FK_ASTG_MKT_GRP_HDR__ASTG_DO_HDR	dbo	ASTG_MKT_GRP_HDR	OPER_BUS_SEG_CD	ASTG_DO_HDR	OPER_BUS_SEG_CD
FK_ASTG_DO_ACCTG_DATA__ASTG_DO_HDR	dbo	ASTG_DO_ACCTG_DATA	PROP_NO	ASTG_DO_HDR	PROP_NO
FK_ASTG_DO_ACCTG_DATA__ASTG_DO_HDR	dbo	ASTG_DO_ACCTG_DATA	DO_TYPE_CD	ASTG_DO_HDR	DO_TYPE_CD
